Date,Ref/Check,Description,Amount,Balance,Memo,Category
7/22/2015,58000519,Guaranteed Check,400,7092.13,,
7/22/2015,58000534,Guaranteed Check,8000,15092.13,,
7/22/2015,,Daily Ledger Bal,,15092.13,,
7/23/2015,58000576,Guaranteed Check,4049,19141.13,,
7/23/2015,7497791840,Guaranteed Check,47000,66141.13,,
7/23/2015,,IB Debit IB TR TO ACCT *9306 Transfer Online from,-1000,65141.13,,
7/23/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-1000,64141.13,,
7/23/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-20000,44141.13,,
7/23/2015,,Daily Ledger Bal,,44141.13,,
7/24/2015,7497793936,Guaranteed Check,5000,49141.13,,
7/24/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-1000,48141.13,,
7/24/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-2000,46141.13,,
7/24/2015,,IB Debit IB TR TO ACCT *0306 Transfer Online from,-2200,43941.13,,
7/24/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-3000,40941.13,,
7/24/2015,,IB Debit IB TR TO ACCT *9306 Transfer Online from,-9200,31741.13,,
7/24/2015,,ACH Withdrawal ADP PAYROLL FEES ADP - FEES,-41.5,31699.63,,
7/24/2015,,ACH Withdrawal NATIONAL INDEMNI NATL INDEM,-569.68,31129.95,,
7/24/2015,,ACH Withdrawal CAPITAL ONE ONLINE PMT,-20000,11129.95,,
7/24/2015,,Wire Out EFS (Coop),-15000,-3870.05,,
7/24/2015,,Daily Ledger Bal,,-3870.05,,
7/27/2015,58000768,Guaranteed Check,3247.5,-622.55,,
7/27/2015,58000772,Guaranteed Check,7826.76,7204.21,,
7/27/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-1.67,7202.54,,
7/27/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-111.76,7090.78,,
7/27/2015,,ACH Withdrawal ADP TX/FINCL SVC ADP - TAX,-590.04,6500.74,,
7/27/2015,,Wire Out EFS (Coop),-2000,4500.74,,
7/27/2015,,Daily Ledger Bal,,4500.74,,
7/28/2015,,ACH Deposit EXT TRF ONLINE,5217,9717.74,,
7/28/2015,,Alliance Payoff MMA to LOC Sweep,-79714.65,-69996.91,,
7/28/2015,,IB Debit IB TR TO ACCT *0108 Transfer Online from,-2000,-71996.91,,
7/28/2015,,Alliance Payoff LOC to MMA Sweep,79714.65,7717.74,,
7/28/2015,,Daily Ledger Bal,,7717.74,,
