 Posted Date, Card No., Description, Debit, Credit
11/20/2015,9356,REPUBLIC SERVICES TRASH,177.17,
11/20/2015,582,FEDEXOFFICE 00014076,44.77,
11/19/2015,2423,TA #167 BOISE,243.91,
11/20/2015,9356,CROSSFIT LEHI,100,
11/20/2015,7952,WIX.COM*114402269,19.9,
11/20/2015,2423,OR MOTOR CARRIER DIV,120.22,
11/20/2015,2423,OR MOTOR CARRIER DIV,8,
11/20/2015,2423,FEDEXOFFICE 00051227,18.1,
11/19/2015,7952,POSTSCAN MAIL,24.9,
11/19/2015,7952,POSTSCAN MAIL,24.9,
11/18/2015,1138,PETERBILT OF UTAH,508,
11/18/2015,9189,PROGRESSIVE *INSURANCE,,599.4
11/18/2015,1481,THE UPS STORE #4848,12.79,
11/18/2015,7952,FMCSA OP1 COLLECTIO,300,
11/17/2015,582,PETRO #303 LARAMIE,67.26,
11/18/2015,2423,OR MOTOR CARRIER DIV,59.45,
11/18/2015,2423,OR MOTOR CARRIER DIV,128.33,
11/16/2015,710,"GOLDEN FROG, INC.",14.99,
11/17/2015,2583,SAPP BROS SERVICE CENT,75.93,
11/16/2015,2583,TA #234 RAWLINS,227.88,
11/16/2015,710,ARV*ARVIXE,10,
11/16/2015,106,TA BROOKLYN,100.97,
11/16/2015,9356,T-MOBILE RECURRING PMT,505.81,
11/16/2015,582,TA #215 HARBORCREEK,71.83,
11/16/2015,710,PRIVATEINTERNETACCESS,6.95,
11/17/2015,1138,POSTSCAN MAIL,24.9,
11/17/2015,1138,POSTSCAN MAIL,24.9,
11/17/2015,1138,POSTSCAN MAIL,24.9,
11/17/2015,1138,POSTSCAN MAIL,24.9,
11/17/2015,1138,POSTSCAN MAIL,24.9,
11/17/2015,1138,POSTSCAN MAIL,24.9,
11/17/2015,1138,POSTSCAN MAIL,24.9,
11/14/2015,9356,CROSSFIT LEHI,100,
