 Posted Date, Card No., Description, Debit, Credit
12/8/2015,2583,GPSANDTRACK,1989,
12/8/2015,582,UNITED 0162472910943,280.6,
12/8/2015,582,TRAVEL INSURANCE POLICY,20.13,
12/8/2015,582,TRAVEL INSURANCE POLICY,21.88,
12/8/2015,7952,MAVERIK #516,22,
12/7/2015,1138,EXPEDIA*1122828001934,53.77,
12/7/2015,2583,EXPEDIA*1122800728958,48.01,
12/8/2015,582,AMERICAN AI 0012316431143,155.1,
12/7/2015,582,TA BALDWIN #247,333.4,
12/7/2015,2583,DELTA AIR 0062328709592,283.1,
12/7/2015,2583,DELTA AIR Baggage Fee,60,
12/7/2015,2583,OR MOTOR CARRIER DIV,16,
12/7/2015,9356,HOLIDAY OIL # 54,3.07,
12/7/2015,7952,POSTSCAN MAIL,24.9,
12/5/2015,1481,DOCUSIGN,30,
12/5/2015,7952,LITTLE CAESARS 002,18.85,
12/4/2015,9356,ROCKY MOUNTAIN POWER,417.72,
12/5/2015,582,OR MOTOR CARRIER DIV,121.2,
12/5/2015,7952,VCN*MD DIST COURT IVR,136.95,
12/3/2015,7952,AMAZON MKTPLACE PMTS,13.98,
12/3/2015,710,"GOLDEN FROG, INC.",14.99,
12/4/2015,1481,THE UPS STORE #4848,12.79,
12/4/2015,9356,QUESTAR GAS COMPANY,132.09,
12/4/2015,582,FEDEXOFFICE 00012302,11.24,
12/4/2015,7952,IN *BONDSEXPRESS SURETY A,124.8,
12/4/2015,2423,FEDEXOFFICE 00030957,13.31,
12/3/2015,7952,CLIMBER.COM 8003740120,1920,
12/3/2015,2423,FEDEXOFFICE 00001594,17.68,
12/4/2015,9356,PAYFLOW/PAYPAL,30,
12/3/2015,9356,HOLIDAY OIL # 54,2.75,
12/3/2015,7952,RIVERSIDE SUITES,70,
12/3/2015,7952,EMBARK SAFETY LLC,129.94,
12/2/2015,1138,SQ *GOSQ.COM CRAIG JENSEN,25,
12/2/2015,8400,USPS 49700401634502781,17.9,
12/2/2015,2794,PAYPAL *HMA PRO VPN,11.52,
12/2/2015,710,"RINGCENTRAL, INC",303.36,
12/1/2015,582,EXPEDIA*1122453776361,74,
12/1/2015,9356,IN *GLOBAL TRACKING COMMU,300,
12/1/2015,9356,MAVERIK #474,67.37,
12/1/2015,582,FEDEXOFFICE 00017210,19.11,
12/1/2015,7952,OR MOTOR CARRIER DIV - SA,16,
12/1/2015,7952,FEDEXOFFICE 00055962,22.35,
12/1/2015,710,WIX.COM*114747185,31.9,
11/30/2015,710,"GOLDEN FROG, INC.",14.99,
11/30/2015,2583,PETRO #326 N. LITTLE R,187.01,
11/30/2015,2583,PETRO #326 N. LITTLE R,269.95,
11/30/2015,9356,FEDEXOFFICE 00055962,18.25,
12/1/2015,2583,AMERICAN AI 0012315909374,486.6,
12/1/2015,2583,AMTRAK TELEP3336421531166,112,
12/1/2015,9356,HOLIDAY OIL # 54,38.71,
11/30/2015,1481,INTUIT *QB ONLINE,13.88,
11/30/2015,7952,GRYHNDLINES REF 5787,,290
11/30/2015,9356,DS WRECKER SERVICE,2645.82,
11/30/2015,2948,DAVINCI VIRTUAL OFFICE SO,50,
11/28/2015,2948,RMG*REGUS/HQ,59,
11/28/2015,2948,RMG*REGUS/HQ,63.99,
11/28/2015,7952,NATIONAL INDEMNITY CO,1242.72,
11/28/2015,7952,WIX.COM*114691064,9.9,
11/28/2015,2423,SAPP BROS SERVICE CENT,312.94,
11/28/2015,7952,EXXONMOBIL 48075410,20,
