 Posted Date, Card No., Description, Debit, Credit
12/3/2015,4461,CAPITAL ONE ONLINE PYMT AuthDate 03-DEC,,14000
12/3/2015,6424,LOANSTAR LEASING,720.56,
12/3/2015,6424,MCCANDLESS RENTAL & LEASI,669,
12/3/2015,6424,NATIONAL LEASE OF UTAH,10351.94,
12/1/2015,6424,WAL-MART #5270,95.1,
12/1/2015,6424,MAVERIK #474,449.99,
11/30/2015,4461,CAPITAL ONE ONLINE PYMT AuthDate 30-NOV,,14000
11/28/2015,6424,"ATLANTA SOUTH 75, INC",281.82,
11/28/2015,6424,TA # 25 SPARTANBUR,314.28,
11/27/2015,6424,RUSH TRK CTR SPRINGVILLE,234.49,
11/27/2015,6424,SAPP BROS TRUCK STOP,208.79,
11/24/2015,6424,SLC INTERNATIONAL AIRPORT,36,
11/24/2015,6424,LOANSTAR LEASING,720.56,
11/24/2015,6424,MCCANDLESS RENTAL & LEASI,492.3,
11/24/2015,6424,NATIONAL LEASE OF UTAH,9681.72,
11/24/2015,6424,PILOT 00007617,12,
11/24/2015,6424,PILOT 00007617,3.66,
11/23/2015,6424,PETRO #303 LARAMIE,341.88,
11/21/2015,6424,BP#8660136LAKE STATION T,16.77,
11/21/2015,6424,WM SUPERCENTER #3251,49.88,
11/23/2015,6424,A LOPEZ TRUCK TIRE SER,325,
11/21/2015,6424,FRENCH MEADOW 32324782,11.1,
